Frame,Vehicle_Count,Density_Decision
308,8,Orta Yogunluk
309,9,Orta Yogunluk
310,9,Orta Yogunluk
311,9,Orta Yogunluk
312,7,Orta Yogunluk
313,7,Orta Yogunluk
314,7,Orta Yogunluk
315,7,Orta Yogunluk
316,7,Orta Yogunluk
317,7,Orta Yogunluk
318,8,Orta Yogunluk
319,8,Orta Yogunluk
320,8,Orta Yogunluk
321,7,Orta Yogunluk
322,7,Orta Yogunluk
323,7,Orta Yogunluk
324,9,Orta Yogunluk
325,9,Orta Yogunluk
326,9,Orta Yogunluk
327,8,Orta Yogunluk
328,8,Orta Yogunluk
329,8,Orta Yogunluk
330,9,Orta Yogunluk
331,9,Orta Yogunluk
332,9,Orta Yogunluk
333,8,Orta Yogunluk
334,8,Orta Yogunluk
335,8,Orta Yogunluk
336,8,Orta Yogunluk
337,8,Orta Yogunluk
338,8,Orta Yogunluk
339,11,Orta Yogunluk
340,11,Orta Yogunluk
341,11,Orta Yogunluk
342,9,Orta Yogunluk
343,9,Orta Yogunluk
344,9,Orta Yogunluk
345,10,Orta Yogunluk
346,10,Orta Yogunluk
347,10,Orta Yogunluk
348,9,Orta Yogunluk
349,9,Orta Yogunluk
350,9,Orta Yogunluk
351,9,Orta Yogunluk
352,9,Orta Yogunluk
353,9,Orta Yogunluk
354,9,Orta Yogunluk
355,9,Orta Yogunluk
356,9,Orta Yogunluk
357,9,Orta Yogunluk
358,9,Orta Yogunluk
359,9,Orta Yogunluk
360,9,Orta Yogunluk
361,9,Orta Yogunluk
362,9,Orta Yogunluk
363,8,Orta Yogunluk
364,8,Orta Yogunluk
365,8,Orta Yogunluk
366,7,Orta Yogunluk
367,7,Orta Yogunluk
368,7,Orta Yogunluk
369,6,Orta Yogunluk
370,6,Orta Yogunluk
371,6,Orta Yogunluk
372,6,Orta Yogunluk
373,6,Orta Yogunluk
374,6,Orta Yogunluk
375,6,Orta Yogunluk
376,6,Orta Yogunluk
377,6,Orta Yogunluk
378,5,Dusuk Yogunluk
379,5,Dusuk Yogunluk
380,5,Dusuk Yogunluk
381,6,Orta Yogunluk
382,6,Orta Yogunluk
383,6,Orta Yogunluk
384,6,Orta Yogunluk
385,6,Orta Yogunluk
386,6,Orta Yogunluk
387,5,Dusuk Yogunluk
388,5,Dusuk Yogunluk
389,5,Dusuk Yogunluk
390,5,Dusuk Yogunluk
391,5,Dusuk Yogunluk
392,5,Dusuk Yogunluk
393,6,Orta Yogunluk
394,6,Orta Yogunluk
395,6,Orta Yogunluk
396,6,Orta Yogunluk
397,6,Orta Yogunluk
398,6,Orta Yogunluk
399,5,Dusuk Yogunluk
400,5,Dusuk Yogunluk
401,5,Dusuk Yogunluk
402,5,Dusuk Yogunluk
403,5,Dusuk Yogunluk
404,5,Dusuk Yogunluk
405,5,Dusuk Yogunluk
406,5,Dusuk Yogunluk
407,5,Dusuk Yogunluk
408,5,Dusuk Yogunluk
409,5,Dusuk Yogunluk
410,5,Dusuk Yogunluk
411,4,Dusuk Yogunluk
412,4,Dusuk Yogunluk
413,4,Dusuk Yogunluk
414,4,Dusuk Yogunluk
415,4,Dusuk Yogunluk
416,4,Dusuk Yogunluk
417,5,Dusuk Yogunluk
418,5,Dusuk Yogunluk
419,5,Dusuk Yogunluk
420,3,Dusuk Yogunluk
421,3,Dusuk Yogunluk
422,3,Dusuk Yogunluk
423,3,Dusuk Yogunluk
424,3,Dusuk Yogunluk
425,3,Dusuk Yogunluk
426,4,Dusuk Yogunluk
